2025-09-24 15:45:56,786 - 这次的优化目标是系统的ITAEc，时间间隔0.1秒
 2.53836648e+05 9.87519982e+05], 计算结果: 599.7893674331317
2025-09-24 16:21:16,194 - 输入参数: [5.94167857e+04 9.15817521e+04 4.51902342e-01 1.89124666e+01
 9.82931001e+05 2.65136947e+04], 计算结果: 1609.0365820208028
2025-09-24 16:21:24,542 - 输入参数: [2.76995089e+04 9.48634598e+04 6.34924545e+01 5.31802418e+01
 1.18363455e+05 3.82565466e+05], 计算结果: 446.08361090329277
2025-09-24 16:21:38,647 - 输入参数: [7.53954318e+04 6.10987079e+04 7.27907392e+01 9.07459460e+00
 9.12731980e+05 4.39031590e+04], 计算结果: 1474.2628703297594
2025-09-24 16:21:49,856 - 输入参数: [6.70168584e+04 6.33167100e+04 4.78044549e+01 2.67786065e+01
 3.60875920e+05 1.08821824e+05], 计算结果: 739.5916032922722
2025-09-24 16:22:02,531 - 输入参数: [2.11744392e+04 5.97362671e+04 7.33636322e+01 5.69450603e+01
 5.13327788e+05 7.69841955e+05], 计算结果: 506.75709262596365
2025-09-24 16:22:15,691 - 输入参数: [5.31235428e+04 1.96166711e+04 4.74460679e+01 5.01051477e+01
 7.74539516e+05 7.57004234e+05], 计算结果: 507.2075279561206
2025-09-24 16:22:26,166 - 输入参数: [5.13799821e+04 8.17524567e+04 6.75025689e+01 2.21910513e+01
 1.09711547e+05 2.83277049e+05], 计算结果: 680.522237521787
2025-09-24 16:22:36,886 - 输入参数: [2.26357602e+04 5.57496218e+04 6.46310894e+01 1.12051708e+01
 2.84828423e+05 4.85114544e+05], 计算结果: 434.86852694266145
2025-09-24 16:22:49,604 - 输入参数: [7.54937253e+04 2.80030335e+04 9.17643526e+01 8.78879392e+01
 9.10812058e+05 6.12072894e+05], 计算结果: 489.6360297781945
2025-09-24 16:22:59,352 - 输入参数: [4.68621739e+04 1.11678681e+03 4.19683234e+01 2.36807041e+00
 8.01902307e+05 2.25996311e+05], 计算结果: 586.6049670196751
2025-09-24 16:23:12,085 - 输入参数: [3.15063396e+04 7.20302914e+04 6.47257818e+01 5.51177097e+01
 5.79513513e+05 7.77084605e+05], 计算结果: 501.33174104720945
2025-09-24 16:23:24,153 - 输入参数: [7.71397683e+04 8.60052887e+04 7.42360306e+01 9.88125903e+01
 8.01801330e+05 2.22758378e+05], 计算结果: 641.9314047977914
2025-09-24 16:23:30,731 - 输入参数: [3.54252898e+04 1.74282003e+04 3.12312658e+00 6.57863105e+01
 2.33172574e+05 1.85913007e+05], 计算结果: 345.02270857016174
2025-09-24 16:23:43,005 - 输入参数: [5.31812800e+04 6.58012058e+04 3.25003996e+01 8.47701386e+01
 2.33309965e+04 2.81719583e+05], 计算结果: 1265.241394496799
2025-09-24 16:23:55,685 - 输入参数: [1.56690915e+04 7.38595253e+04 6.19260695e+01 1.99103697e+01
 8.20553476e+05 5.81985110e+05], 计算结果: 529.3097332163786
2025-09-24 16:24:01,076 - 输入参数: [9.28501800e+04 6.98086990e+03 8.24484577e+01 3.52833014e+01
 3.80401053e+05 5.56042203e+04], 计算结果: 488.491600909899
2025-09-24 16:24:12,898 - 输入参数: [1.31858297e+04 6.87213904e+04 3.97483077e+01 7.01828641e+01
 7.74030508e+05 1.34162107e+05], 计算结果: 774.0010464185214
2025-09-24 16:24:18,656 - 输入参数: [2.13786784e+04 2.71260841e+04 6.48038103e+01 4.38856868e+01
 2.03802282e+05 1.04315013e+05], 计算结果: 402.1608766186971
2025-09-24 16:24:33,338 - 输入参数: [2.07712479e+04 7.32184859e+04 6.07967548e+01 1.43010629e+01
 5.33291006e+03 4.77488869e+04], 计算结果: 5680.254130816092
2025-09-24 16:24:40,113 - 输入参数: [2.94470361e+04 1.19539644e+04 6.63394757e+01 5.50814608e+01
 8.77056403e+05 1.28794132e+05], 计算结果: 435.87064679580965
2025-09-24 16:24:52,989 - 输入参数: [8.34068001e+04 4.08968680e+04 3.56562264e+01 5.58810711e+01
 2.32061669e+05 8.95780890e+05], 计算结果: 631.5684940359881
2025-09-24 16:25:04,933 - 输入参数: [5.39864257e+04 4.57975845e+04 5.40065002e+01 1.09580825e+01
 4.12702130e+05 5.12869205e+05], 计算结果: 474.39157203027213
2025-09-24 16:25:17,468 - 输入参数: [8.91318754e+04 1.64400088e+04 3.62710560e+00 1.15347764e+01
 4.14257457e+05 6.09257484e+05], 计算结果: 525.0548379065074
2025-09-24 16:25:29,207 - 输入参数: [1.97008378e+04 7.30314618e+04 9.04717955e+01 4.12918819e+01
 3.48318780e+05 5.66040993e+05], 计算结果: 476.9412090438535
2025-09-24 16:25:43,037 - 输入参数: [7.63224415e+04 2.31863145e+04 7.58483115e+01 2.66816093e+01
 8.80836602e+05 9.99901561e+05], 计算结果: 494.05604891563996
2025-09-24 16:25:55,045 - 输入参数: [6.71788827e+04 9.77042157e+04 9.04912373e+01 1.22995093e+01
 6.42987685e+05 1.92868352e+05], 计算结果: 709.1848553348482
2025-09-24 16:26:06,975 - 输入参数: [8.02142422e+04 1.71297327e+04 9.12910182e+01 1.56424700e+01
 8.23719719e+04 4.23202703e+05], 计算结果: 743.4325337324916
2025-09-24 16:26:19,304 - 输入参数: [7.76347304e+04 6.41271628e+04 8.27960172e+01 9.18242141e+01
 8.33598755e+05 4.87919405e+05], 计算结果: 499.1605195038152
2025-09-24 16:26:31,129 - 输入参数: [1.66686304e+04 9.00389743e+03 1.81343640e+01 5.11491959e+01
 5.23175617e+05 4.91239028e+05], 计算结果: 672.6358467674023
2025-09-24 16:26:41,576 - 输入参数: [9.33680860e+04 3.15713399e+04 6.76951767e+00 4.88413082e+01
 8.38064968e+05 2.10218990e+05], 计算结果: 412.4501848244635
2025-09-24 16:26:51,090 - 输入参数: [6.96084569e+04 3.00286837e+04 7.34294717e+01 3.24344467e+01
 3.48700134e+05 5.36253869e+04], 计算结果: 847.1204178348264
2025-09-24 16:27:04,099 - 输入参数: [7.81075721e+04 6.33064598e+04 7.50215426e+01 1.78333037e+01
 7.59928521e+05 7.20117337e+05], 计算结果: 494.672985978486
2025-09-24 16:27:11,737 - 输入参数: [5.52050199e+04 2.16052595e+04 4.54392979e+01 7.78611150e+01
 1.85206306e+05 2.13334874e+05], 计算结果: 378.0786969439388
2025-09-24 16:27:23,307 - 输入参数: [6.50047773e+03 3.42520845e+04 3.54342351e+01 6.90759015e+01
 6.77325121e+05 3.73870168e+05], 计算结果: 644.009899806689
2025-09-24 16:27:30,810 - 输入参数: [2.41330970e+04 7.32380980e+04 4.06874112e+01 4.52414442e+01
 9.34008785e+04 1.57277494e+05], 计算结果: 545.0550524516782
2025-09-24 16:27:43,634 - 输入参数: [8.64618731e+04 6.36181259e+04 7.94147472e+01 1.74828837e+01
 1.25698116e+05 6.99809831e+05], 计算结果: 806.0660148953635
2025-09-24 16:27:56,813 - 输入参数: [9.13659421e+04 3.83214798e+04 7.83178383e+01 6.99135542e+01
 1.73279422e+05 9.40597948e+05], 计算结果: 744.2838548994337
2025-09-24 16:28:07,708 - 输入参数: [5.52915947e+04 8.56536996e+04 8.28277648e+01 7.13081437e+01
 1.78935639e+05 1.58145350e+05], 计算结果: 722.3634573713757
2025-09-24 16:28:23,244 - 输入参数: [1.00000000e+05 0.00000000e+00 9.06114574e+01 3.13032985e+01
 0.00000000e+00 1.54334632e+05], 计算结果: 2006.4356978362102
2025-09-24 16:28:33,379 - 输入参数: [3.08698700e+04 1.80618214e+04 7.80655823e+00 2.95225785e+01
 4.19534355e+05 2.86243431e+05], 计算结果: 398.3802935092983
2025-09-24 16:28:45,568 - 输入参数: [7.45394175e+04 5.58380131e+04 2.28379809e+01 9.55442894e+01
 2.11667254e+05 6.78386053e+05], 计算结果: 596.9432270509217
2025-09-24 16:28:59,798 - 输入参数: [8.54938714e+04 6.58952441e+04 8.92767231e+01 0.00000000e+00
 8.45681208e+05 3.78053704e+04], 计算结果: 1558.475084134235
2025-09-24 16:29:14,858 - 输入参数: [4.18677084e+04 1.42899417e+04 8.02563732e+00 3.97905346e+01
 0.00000000e+00 0.00000000e+00], 计算结果: 14375.439473487402
2025-09-24 16:29:27,340 - 输入参数: [1.34231391e+04 0.00000000e+00 0.00000000e+00 5.54207207e+01
 4.51731527e+05 7.78789361e+05], 计算结果: 1334.187802295085
2025-09-24 16:29:42,297 - 输入参数: [6.54260097e+04 0.00000000e+00 0.00000000e+00 8.38887198e+00
 0.00000000e+00 0.00000000e+00], 计算结果: 17862.119838107028
2025-09-24 16:29:55,045 - 输入参数: [7.08915623e+04 1.00000000e+05 1.00000000e+02 1.54673101e+01
 1.00000000e+06 1.66312308e+05], 计算结果: 814.7100001852718
2025-09-24 16:30:02,898 - 输入参数: [4.25257147e+04 1.76292602e+04 3.88261907e+00 2.53431584e+01
 2.27176341e+05 2.38549644e+05], 计算结果: 334.92308352309976
2025-09-24 16:30:14,424 - 输入参数: [0.00000000e+00 0.00000000e+00 1.00000000e+02 1.00000000e+02
 2.66770233e+05 1.00000000e+06], 计算结果: 1555.000269671929
2025-09-24 16:30:30,110 - 输入参数: [1.00000000e+05 3.18987529e+04 2.73285983e+01 5.25870923e+01
 0.00000000e+00 1.79489950e+05], 计算结果: 2063.9833465918723
2025-09-24 16:30:46,096 - 输入参数: [8.55869402e+04 1.28066202e+04 0.00000000e+00 3.06108832e+01
 0.00000000e+00 7.16971658e+05], 计算结果: 2293.8342050027572
2025-09-24 16:31:01,178 - 输入参数: [3.46990367e+04 0.00000000e+00 4.72240048e+00 7.60349831e+01
 0.00000000e+00 9.06474041e+04], 计算结果: 3252.811356775007
2025-09-24 16:31:14,498 - 输入参数: [8.57715113e+04 1.00000000e+05 1.00000000e+02 1.00000000e+02
 5.24210375e+05 1.00000000e+06], 计算结果: 526.072776114391
2025-09-24 16:31:29,416 - 输入参数: [7.41071303e+04 6.02116021e+03 1.94925249e+01 2.13917230e+01
 1.00000000e+06 0.00000000e+00], 计算结果: 6896.221395649865
2025-09-24 16:31:39,390 - 输入参数: [1.85426996e+04 5.91641306e+04 1.67615162e+01 5.83441966e+01
 2.13654756e+04 1.76294180e+05], 计算结果: 1458.143779852509
2025-09-24 16:31:52,486 - 输入参数: [1.00000000e+05 1.07921999e+04 9.73742828e+01 5.39057118e+01
 5.73126323e+05 9.27475210e+05], 计算结果: 557.3589009076202
2025-09-24 16:32:07,473 - 输入参数: [44668.67495437 19471.60012289     0.            69.91049389
     0.         31048.21159163], 计算结果: 4656.545867675954
2025-09-24 16:32:18,740 - 输入参数: [4.87237321e+04 3.83665904e+04 2.70316564e+01 8.27806379e+01
 1.59378361e+05 2.73843262e+04], 计算结果: 1442.671353720072
2025-09-24 16:32:25,405 - 输入参数: [3.79009652e+04 2.66289902e+04 2.42822643e+01 8.59851920e+01
 1.96520412e+05 1.84531610e+05], 计算结果: 348.74333400657946
2025-09-24 16:32:32,655 - 输入参数: [  98297.95326223   17217.35778818       0.               0.
 1000000.          120047.00187043], 计算结果: 318.1488895275699
2025-09-24 16:32:46,477 - 输入参数: [0.00000000e+00 2.55492310e+02 1.28174053e+01 0.00000000e+00
 1.00000000e+06 9.80257129e+05], 计算结果: 1783.1614259787248
2025-09-24 16:32:59,545 - 输入参数: [     0.              0.              0.              0.
 909583.88786846 646179.78436165], 计算结果: 2320.136386166143
2025-09-24 16:33:11,735 - 输入参数: [1.00000000e+05 8.64087438e+04 0.00000000e+00 1.87295741e+01
 4.44593795e+05 1.27210657e+05], 计算结果: 866.9645599884789
2025-09-24 16:33:18,275 - 输入参数: [3.54252898e+04 1.74282003e+04 3.12312658e+00 6.57863105e+01
 2.33172574e+05 1.85913007e+05], 计算结果: 345.02270857016174
2025-09-24 16:33:34,018 - 输入参数: [3.90758021e+04 0.00000000e+00 3.10778679e+01 3.68684296e+01
 0.00000000e+00 1.00000000e+06], 计算结果: 3657.936984245266
2025-09-24 16:33:47,523 - 输入参数: [6.90115833e+04 1.00000000e+05 1.00000000e+02 3.90939605e+01
 8.73854316e+05 8.55889655e+05], 计算结果: 491.1057363297341
2025-09-24 16:34:00,854 - 输入参数: [1.56039870e+04 7.22610805e+02 2.95897600e+01 5.41596594e+01
 0.00000000e+00 6.05714062e+04], 计算结果: 3596.3255909936356
2025-09-24 16:34:16,782 - 输入参数: [7.97085942e+04 7.36655043e+04 1.00000000e+02 3.97984400e+01
 0.00000000e+00 9.22647317e+05], 计算结果: 2408.5485965374924
2025-09-24 16:34:23,254 - 输入参数: [4.10530985e+04 1.53564438e+04 2.06749193e+01 3.26383860e+01
 2.48976531e+05 1.63751447e+05], 计算结果: 311.6090047169628
2025-09-24 16:34:32,417 - 输入参数: [4.95117678e+04 3.82127811e+04 0.00000000e+00 8.29603615e+01
 2.84803658e+05 6.70194847e+04], 计算结果: 713.5144399153706
2025-09-24 16:34:45,514 - 输入参数: [7.36204970e+04 5.39167528e+04 1.00000000e+02 9.64151530e+00
 7.14253232e+05 7.41451502e+05], 计算结果: 494.5912286267676
2025-09-24 16:34:53,963 - 输入参数: [0.00000000e+00 0.00000000e+00 6.08225053e+01 0.00000000e+00
 1.61955468e+05 6.28243853e+05], 计算结果: 3221.785123411918
2025-09-24 16:35:07,753 - 输入参数: [3.72385906e+04 6.86161896e+03 0.00000000e+00 6.84301383e+01
 1.67517227e+05 0.00000000e+00], 计算结果: 4980.409237940372
2025-09-24 16:35:20,312 - 输入参数: [100000.            922.04261363      0.              0.
 426973.1864166  701928.53812913], 计算结果: 785.6880032367649
2025-09-24 16:35:27,579 - 输入参数: [2.73735816e+04 0.00000000e+00 0.00000000e+00 6.32504629e+01
 2.15465920e+05 2.32632131e+05], 计算结果: 828.855289750924
2025-09-24 16:35:43,531 - 输入参数: [5.41762401e+04 1.40034982e+04 8.41055265e+01 8.24234197e+01
 0.00000000e+00 1.00000000e+06], 计算结果: 3002.99960865355
2025-09-24 16:35:55,922 - 输入参数: [0.00000000e+00 1.00000000e+05 9.17101299e+01 4.05183343e+01
 5.70895354e+05 5.54033608e+05], 计算结果: 625.8545824232675
2025-09-24 16:36:11,449 - 输入参数: [7.12407754e+04 7.97365062e+04 1.00000000e+02 0.00000000e+00
 0.00000000e+00 1.99810888e+05], 计算结果: 2834.499835575623
2025-09-24 16:36:23,796 - 输入参数: [1.37467284e+04 0.00000000e+00 5.41652786e+01 6.38831875e+01
 4.55985837e+05 0.00000000e+00], 计算结果: 5447.3884559985145
2025-09-24 16:36:31,271 - 输入参数: [3.62363105e+04 1.51992214e+04 0.00000000e+00 6.91843122e+01
 3.41130316e+05 3.33274653e+04], 计算结果: 840.7805865236052
2025-09-24 16:36:40,490 - 输入参数: [5.69482588e+04 2.65221201e+04 9.02367088e-01 5.55549801e+01
 8.45837045e+05 1.71351559e+05], 计算结果: 384.790042821681
2025-09-24 16:36:54,426 - 输入参数: [2.45642076e+04 7.55049892e+04 2.71825540e+01 2.99018901e+01
 1.00000000e+06 1.00000000e+06], 计算结果: 489.50590630075055
2025-09-24 16:37:09,908 - 输入参数: [7.25560957e+04 3.03551518e+04 1.14985834e+01 6.79307771e+01
 0.00000000e+00 2.14277158e+05], 计算结果: 2281.2818243462516
2025-09-24 16:37:25,411 - 输入参数: [3.10329209e+04 0.00000000e+00 2.52459608e+01 0.00000000e+00
 0.00000000e+00 5.13610351e+05], 计算结果: 3790.2333184037343
2025-09-24 16:37:30,896 - 输入参数: [2.27529312e+04 3.44587383e+04 0.00000000e+00 6.08437271e+01
 1.21615385e+05 1.24698617e+05], 计算结果: 358.8540469200963
2025-09-24 16:37:36,641 - 输入参数: [5.21222110e+04 0.00000000e+00 4.48021953e-01 7.28999008e+01
 1.31068879e+05 1.48557282e+05], 计算结果: 773.0320949720233
2025-09-24 16:37:49,042 - 输入参数: [9.28962895e+03 0.00000000e+00 8.51382928e+00 4.89779304e+01
 5.01486627e+05 0.00000000e+00], 计算结果: 5617.663509089983
2025-09-24 16:38:05,381 - 输入参数: [1.00000000e+05 5.28276890e+04 4.62418515e+01 1.00000000e+02
 0.00000000e+00 1.00000000e+06], 计算结果: 2035.6446838696374
2025-09-24 16:38:11,505 - 输入参数: [4.39120417e+04 0.00000000e+00 0.00000000e+00 3.62394444e+01
 2.17801900e+05 1.62585277e+05], 计算结果: 597.1547916880652
2025-09-24 16:38:27,499 - 输入参数: [7.94832949e+04 4.54681152e+04 2.41400343e+01 3.37924123e+01
 0.00000000e+00 0.00000000e+00], 计算结果: 7271.516570536989
2025-09-24 16:38:35,792 - 输入参数: [4.29996128e+04 1.37657856e+04 1.64486532e+01 4.10549387e+01
 2.95633835e+05 2.35596248e+05], 计算结果: 364.4697331775893
2025-09-24 16:38:48,103 - 输入参数: [5.81377510e+04 0.00000000e+00 2.63398817e+01 8.84436888e+01
 2.26194137e+05 0.00000000e+00], 计算结果: 7847.36508882038
2025-09-24 16:39:02,125 - 输入参数: [1.00000000e+05 0.00000000e+00 8.64709132e+01 0.00000000e+00
 9.24615824e+05 1.00000000e+06], 计算结果: 711.1997465579725
2025-09-24 16:39:10,218 - 输入参数: [4.14423136e+04 1.52969865e+04 1.33262934e+00 2.84519268e+01
 5.01056135e+05 1.75974593e+05], 计算结果: 332.8681221497684
2025-09-24 16:39:25,511 - 输入参数: [6.26388623e+04 7.44644673e+03 8.95545165e+00 1.03136046e+01
 0.00000000e+00 3.42002185e+04], 计算结果: 3572.6490122623723
2025-09-24 16:39:40,671 - 输入参数: [4.47390347e+04 1.86319256e+04 0.00000000e+00 9.82892441e+01
 1.12567671e+05 0.00000000e+00], 计算结果: 4922.104661974071
2025-09-24 16:39:56,176 - 输入参数: [98072.48497134     0.             0.             0.
     0.         67180.9129746 ], 计算结果: 1844.1230670596237
2025-09-24 16:40:01,661 - 输入参数: [4.10060579e+04 1.41477575e+04 3.10036973e+01 2.87089138e+01
 2.54805948e+05 1.20096296e+05], 计算结果: 303.6508397989287
2025-09-24 16:40:14,391 - 输入参数: [7.76698782e+04 2.71270181e+04 0.00000000e+00 1.89487439e+01
 2.60323175e+05 1.00000000e+06], 计算结果: 615.1467139225945
2025-09-24 16:40:21,423 - 输入参数: [7.70810655e+04 5.30164202e+03 2.73565089e+01 2.03961254e+01
 3.42720330e+05 1.67857645e+05], 计算结果: 330.85469488530197
2025-09-24 16:40:25,888 - 输入参数: [4.65802090e+04 0.00000000e+00 5.43530115e-01 7.46657898e+01
 4.12347149e+05 8.43775384e+04], 计算结果: 827.4301079068368
2025-09-24 16:40:41,200 - 输入参数: [3.19658176e+04 2.50644554e+04 1.30811040e+01 0.00000000e+00
 0.00000000e+00 1.83569057e+05], 计算结果: 3063.6136235848717
2025-09-24 16:40:54,256 - 输入参数: [1.00000000e+05 0.00000000e+00 1.00000000e+02 3.68961506e+01
 1.00000000e+06 0.00000000e+00], 计算结果: 8857.241813751922
2025-09-24 16:41:09,058 - 输入参数: [5.29890607e+04 2.45626614e+04 2.16473108e+01 3.47326523e+01
 0.00000000e+00 3.95225130e+04], 计算结果: 4135.065920884435
2025-09-24 16:41:16,280 - 输入参数: [1.10538840e+04 0.00000000e+00 1.90063406e+01 3.15277977e+01
 4.54775978e+05 1.67320549e+05], 计算结果: 1572.766749868808
2025-09-24 16:41:31,176 - 输入参数: [4.95726009e+04 8.72580200e+03 0.00000000e+00 3.97739823e+01
 5.57800597e+05 0.00000000e+00], 计算结果: 5407.566465793676
2025-09-24 16:41:38,102 - 输入参数: [9.97824863e+04 0.00000000e+00 1.32223751e+00 1.00000000e+02
 1.00000000e+06 1.37781265e+05], 计算结果: 691.1100433444451
2025-09-24 16:41:46,381 - 输入参数: [0.00000000e+00 1.96501111e+04 4.26967481e+01 2.98026513e+01
 1.42673752e+05 1.00000000e+06], 计算结果: 873.5653898194907
2025-09-24 16:42:02,160 - 输入参数: [0.00000000e+00 3.29760066e+04 0.00000000e+00 8.97180886e+01
 1.00000000e+06 0.00000000e+00], 计算结果: 4494.53591169246
2025-09-24 16:42:15,751 - 输入参数: [15221.55536425 17721.72008928     0.            66.00816355
     0.         46860.16450672], 计算结果: 4201.227393940873
2025-09-24 16:42:28,721 - 输入参数: [1.00000000e+05 0.00000000e+00 6.17367425e+01 0.00000000e+00
 1.00000000e+06 0.00000000e+00], 计算结果: 8292.412223592459
2025-09-24 16:42:44,515 - 输入参数: [0.00000000e+00 5.09623043e+04 0.00000000e+00 1.06823725e+01
 1.00000000e+06 0.00000000e+00], 计算结果: 3554.242277934024
2025-09-24 16:42:59,839 - 输入参数: [1.00000000e+05 0.00000000e+00 3.49120946e+01 0.00000000e+00
 0.00000000e+00 8.98161294e+04], 计算结果: 1780.8118983796794
2025-09-24 16:43:13,677 - 输入参数: [1.00000000e+05 1.00000000e+05 7.07161509e+01 4.86630061e+01
 8.96241190e+05 1.00000000e+06], 计算结果: 482.3989761020182
2025-09-24 16:43:29,149 - 输入参数: [5.64765027e+04 0.00000000e+00 1.02289488e+01 0.00000000e+00
 0.00000000e+00 5.54575110e+05], 计算结果: 2910.204754584883
2025-09-24 16:43:42,601 - 输入参数: [0.00000000e+00 6.43571669e+04 0.00000000e+00 2.97171988e+01
 1.00000000e+06 7.75687652e+05], 计算结果: 814.310356944417
2025-09-24 16:43:49,228 - 输入参数: [6.12685324e+04 1.26455590e+04 2.37071073e+01 2.81728213e+01
 3.90919959e+05 1.45384281e+05], 计算结果: 303.15528374651274
2025-09-24 16:44:00,872 - 输入参数: [2.06701678e+04 5.72846373e+04 3.25114330e+01 1.40002718e+01
 1.00000000e+06 1.54478412e+05], 计算结果: 672.4151815063013
2025-09-24 16:44:07,307 - 输入参数: [4.10530985e+04 1.53564438e+04 2.06749193e+01 3.26383860e+01
 2.48976531e+05 1.63751447e+05], 计算结果: 311.6090047169628
2025-09-24 16:44:15,159 - 输入参数: [4.11138617e+04 2.38070049e+04 1.39518561e+01 3.61662362e+01
 2.28779077e+05 2.30828398e+05], 计算结果: 335.9244305549645
2025-09-24 16:44:28,255 - 输入参数: [8.25022391e+03 5.04603696e+03 9.08770895e+01 1.85317051e+01
 5.62614375e+05 1.00000000e+06], 计算结果: 1044.5728081620452
2025-09-24 16:44:43,334 - 输入参数: [8.20104212e+04 1.03578193e+04 6.19156331e-01 4.19514357e+01
 4.46607026e+05 0.00000000e+00], 计算结果: 5716.00197411352
2025-09-24 16:44:58,654 - 输入参数: [4.66463995e+04 3.08506756e+04 0.00000000e+00 4.15139821e+01
 2.58755185e+05 0.00000000e+00], 计算结果: 3753.4664770456175
2025-09-24 16:45:11,361 - 输入参数: [6.72436642e+04 2.85394517e+04 3.21133195e+01 4.45025593e+01
 3.15201776e+05 1.00000000e+06], 计算结果: 564.2197433186766
2025-09-24 16:45:26,822 - 输入参数: [2.16263446e+04 0.00000000e+00 6.06472247e+01 0.00000000e+00
 0.00000000e+00 9.70399239e+05], 计算结果: 4789.039361061906
2025-09-24 16:45:36,333 - 输入参数: [3.79100651e+04 1.52037088e+04 0.00000000e+00 2.96512615e+01
 1.93914898e+05 4.23395810e+05], 计算结果: 430.4031732519345
2025-09-24 16:45:48,564 - 输入参数: [2.22885058e+04 0.00000000e+00 1.00000000e+02 1.61858208e+01
 4.16525787e+05 0.00000000e+00], 计算结果: 5072.064638851212
2025-09-24 16:46:04,453 - 输入参数: [1.00000000e+05 1.00000000e+05 8.36259462e+01 9.08405925e+01
 1.66783930e+05 0.00000000e+00], 计算结果: 2944.742467505706
2025-09-24 16:46:19,557 - 输入参数: [7.12741640e+03 1.11384092e+04 3.54613183e+01 6.09754813e+01
 7.33250177e+05 0.00000000e+00], 计算结果: 5661.022203809103
2025-09-24 16:46:25,926 - 输入参数: [4.28105245e+04 1.53646802e+04 3.23256040e+01 5.57299891e+01
 1.31587751e+05 1.88327018e+05], 计算结果: 375.39360775320256
2025-09-24 16:46:32,579 - 输入参数: [6.74595764e+04 1.29740446e+04 1.63558155e+01 3.59491648e+01
 6.97831600e+04 1.52379817e+05], 计算结果: 410.3026764546179
2025-09-24 16:46:45,082 - 输入参数: [1.00000000e+05 0.00000000e+00 0.00000000e+00 3.39204482e+01
 7.58755051e+05 5.23456477e+05], 计算结果: 622.4340837732913
2025-09-24 16:46:51,869 - 输入参数: [2.68789956e+04 0.00000000e+00 2.10624774e+01 3.51360896e+01
 4.99933888e+05 1.49600440e+05], 计算结果: 774.0121969531149
2025-09-24 16:47:02,931 - 输入参数: [4.20226868e+04 0.00000000e+00 2.00030485e+01 5.66139296e+01
 2.16353007e+05 6.58330868e+05], 计算结果: 847.0085962538396
2025-09-24 16:47:18,440 - 输入参数: [1.00000000e+05 1.08444899e+02 0.00000000e+00 7.87408338e+01
 0.00000000e+00 6.85017004e+04], 计算结果: 2240.7649215378533
2025-09-24 16:47:25,770 - 输入参数: [1.68555606e+04 0.00000000e+00 3.21464193e-01 6.22281312e+01
 2.27357605e+04 2.87391956e+05], 计算结果: 1218.908045978059
2025-09-24 16:47:36,670 - 输入参数: [9.47357319e+04 2.06176849e+04 2.32256250e+01 3.58321577e+01
 4.80819518e+05 3.02459675e+05], 计算结果: 419.43251969707535
2025-09-24 16:47:49,044 - 输入参数: [6.06946495e+04 3.30557238e+02 6.65556857e+00 5.71638938e+01
 1.05125620e+05 0.00000000e+00], 计算结果: 11160.061486617835
2025-09-24 16:47:55,271 - 输入参数: [6.76105956e+04 6.17277390e+03 2.86246185e+01 4.41637422e+01
 4.38597002e+05 1.37956359e+05], 计算结果: 367.9115261551446
2025-09-24 16:48:01,311 - 输入参数: [7.85337704e+04 0.00000000e+00 2.56338345e+01 4.40111236e+01
 1.00000000e+06 3.01756884e+04], 计算结果: 953.6983306135575
2025-09-24 16:48:07,071 - 输入参数: [6.78562075e+04 1.29484738e+04 1.91866723e+01 1.43437195e+01
 4.26037572e+05 7.35440804e+04], 计算结果: 353.97610782768777
2025-09-24 16:48:13,673 - 输入参数: [6.13518914e+04 5.50573093e+03 2.03918019e+01 5.93943184e+01
 1.16643170e+05 1.70117340e+05], 计算结果: 475.6332494386535
2025-09-24 16:48:28,451 - 输入参数: [3.30499718e+04 1.72976636e+04 8.43170343e+01 3.40209314e+01
 2.73257027e+05 0.00000000e+00], 计算结果: 4186.69077110678
2025-09-24 16:48:34,633 - 输入参数: [3.01350164e+04 1.48532644e+04 2.06381113e+01 2.78321825e+01
 4.14204436e+05 1.27732749e+05], 计算结果: 332.949981475305
2025-09-24 16:48:46,104 - 输入参数: [6.45268368e+04 1.44767862e+04 6.09654557e+01 1.52339733e+01
 6.77096631e+05 1.82550255e+04], 计算结果: 1869.3313282795402
2025-09-24 16:48:56,970 - 输入参数: [6.18108251e+04 3.16613052e+04 1.11986675e+00 5.34360282e+01
 3.54995412e+05 3.46677444e+05], 计算结果: 426.92679875723843
2025-09-24 16:49:09,513 - 输入参数: [0.00000000e+00 3.11095878e+04 0.00000000e+00 5.25716924e+00
 0.00000000e+00 3.03019177e+04], 计算结果: 13203.483881684808
2025-09-24 16:49:16,537 - 输入参数: [7.40558654e+04 1.21591226e+04 2.20557896e+01 2.86830292e+01
 3.30809015e+05 1.58684692e+05], 计算结果: 309.3635255329044
2025-09-24 16:49:28,169 - 输入参数: [1.00000000e+05 1.34976819e+04 0.00000000e+00 3.53697133e+01
 9.57110121e+05 2.99485372e+05], 计算结果: 427.68819715625705
2025-09-24 16:49:34,828 - 输入参数: [5.19701219e+04 1.05237945e+04 2.63943657e+01 4.56439511e+01
 3.63297724e+05 1.49413588e+05], 计算结果: 344.4309303708342
2025-09-24 16:49:40,602 - 输入参数: [6.60481383e+04 0.00000000e+00 1.40153584e+01 9.20221319e+01
 3.80249448e+05 1.22785426e+05], 计算结果: 785.0941289964504
2025-09-24 16:49:47,810 - 输入参数: [7.37309442e+04 1.42780239e+03 2.28277772e+01 3.30717789e+01
 9.51901769e+04 1.75261589e+05], 计算结果: 491.609251347845
