2025-09-12 14:34:10,755 - 这次的优化目标是系统的ITAEc，时间间隔0.1秒
 1.86658896e+05 2.21453261e+05], 计算结果: 391.7048319816522
2025-09-12 15:05:51,818 - 输入参数: [9.22084454e+04 7.27431535e+04 1.00000000e+02 6.48067904e+01
 8.39390607e+05 9.16042557e+05], 计算结果: 487.52159689257667
2025-09-12 15:06:05,811 - 输入参数: [1.00000000e+05 0.00000000e+00 0.00000000e+00 1.59826455e+01
 0.00000000e+00 0.00000000e+00], 计算结果: 14771.243792193374
2025-09-12 15:06:13,206 - 输入参数: [1.25161559e+04 2.72411602e+04 2.02420264e+00 9.81268590e+01
 1.14709032e+05 7.30470652e+05], 计算结果: 431.45641991406535
2025-09-12 15:06:21,200 - 输入参数: [2.54608131e+04 0.00000000e+00 2.43194472e-01 0.00000000e+00
 2.74947579e+05 2.47308641e+05], 计算结果: 1127.3993716248742
2025-09-12 15:06:27,784 - 输入参数: [2.05415481e+04 2.38147131e+04 6.40242907e+00 1.29311696e+01
 1.62951516e+05 1.64896926e+05], 计算结果: 271.5798541904786
2025-09-12 15:06:43,387 - 输入参数: [1.00000000e+05 2.76621046e+04 3.63532014e+00 2.58559251e+01
 0.00000000e+00 6.80122461e+04], 计算结果: 2582.61778833465
2025-09-12 15:06:58,480 - 输入参数: [6.77602024e+04 2.45275488e+04 1.45346292e+00 1.64670974e+01
 0.00000000e+00 1.77187968e+05], 计算结果: 2347.1637914364583
2025-09-12 15:07:09,755 - 输入参数: [0.00000000e+00 8.33310276e+04 0.00000000e+00 4.70265736e+01
 4.62058046e+05 2.09566766e+05], 计算结果: 852.4507601430912
2025-09-12 15:07:22,927 - 输入参数: [3.35973878e+04 1.67487222e+04 3.58508422e-01 0.00000000e+00
 7.53916000e+05 7.99203337e+05], 计算结果: 549.0059611214238
2025-09-12 15:07:38,247 - 输入参数: [2.43751580e+04 3.46621085e+04 0.00000000e+00 3.49255827e+01
 3.82168298e+05 0.00000000e+00], 计算结果: 3613.4933718176703
2025-09-12 15:07:44,812 - 输入参数: [2.75786238e+04 4.60955505e+04 4.93592979e+00 2.23878678e+01
 1.48315342e+05 1.53279078e+05], 计算结果: 369.34669892557383
2025-09-12 15:07:51,017 - 输入参数: [1.98219511e+04 1.53990585e+04 7.23140227e+00 0.00000000e+00
 1.62079599e+05 2.27383863e+04], 计算结果: 771.8261348299827
2025-09-12 15:07:57,750 - 输入参数: [0.00000000e+00 4.77730535e+04 1.98361672e+01 0.00000000e+00
 1.83462654e+05 1.04815645e+05], 计算结果: 544.8109358465695
2025-09-12 15:08:02,902 - 输入参数: [2.14916194e+04 8.99021854e+03 2.88487051e+00 1.81977212e+01
 1.35774145e+05 1.61237646e+05], 计算结果: 341.11984313385335
2025-09-12 15:08:18,033 - 输入参数: [2.49760025e+04 4.64007510e+04 0.00000000e+00 3.59855602e+01
 0.00000000e+00 1.58450690e+05], 计算结果: 3649.943800270905
2025-09-12 15:08:33,690 - 输入参数: [0.00000000e+00 2.98361437e+04 2.99405982e+00 8.31380152e+01
 9.54952818e+05 0.00000000e+00], 计算结果: 4546.794158623643
2025-09-12 15:08:38,995 - 输入参数: [2.05497131e+04 2.56686367e+04 6.43915605e+00 1.36848708e+01
 6.35560604e+04 1.31169447e+05], 计算结果: 422.7718498606322
2025-09-12 15:08:44,516 - 输入参数: [2.36495424e+04 1.86746889e+04 1.22255631e+01 8.63770232e+00
 2.43771053e+05 7.12226880e+04], 计算结果: 367.5923522653903
2025-09-12 15:08:59,128 - 输入参数: [2.02665128e+04 2.53935340e+04 5.72960372e+00 3.12129691e+01
 1.17281444e+05 0.00000000e+00], 计算结果: 3395.7268907428543
2025-09-12 15:09:07,888 - 输入参数: [2.59441549e+04 3.37354953e+04 2.98279249e+00 8.70190365e+00
 2.94559860e+04 2.99597784e+05], 计算结果: 818.9433754918633
2025-09-12 15:09:20,831 - 输入参数: [1.97716946e+04 9.71188975e+04 7.00499145e+00 0.00000000e+00
 7.08427549e+05 9.88914021e+04], 计算结果: 994.0248212787232
2025-09-12 15:09:36,644 - 输入参数: [4.99089801e+04 1.98753239e+04 4.92565378e+01 0.00000000e+00
 0.00000000e+00 2.20556555e+05], 计算结果: 2666.535754870472
2025-09-12 15:09:52,542 - 输入参数: [1.00000000e+05 8.83042909e+04 0.00000000e+00 1.66448924e+01
 0.00000000e+00 1.69807009e+05], 计算结果: 2616.1431620726808
2025-09-12 15:10:01,858 - 输入参数: [2.68956002e+04 2.43133872e+04 2.50383808e+00 9.52816234e+00
 5.30272560e+05 2.07746001e+05], 计算结果: 382.67688336289183
2025-09-12 15:10:13,521 - 输入参数: [ 31656.78829183  22275.15203241      0.              0.
 207580.28258506   7478.85174328], 计算结果: 1632.2729554072475
2025-09-12 15:10:19,377 - 输入参数: [8.39357324e+03 1.39997084e+04 6.90987194e+00 1.68732915e+01
 2.41299837e+05 1.45121965e+05], 计算结果: 516.6021789341967
2025-09-12 15:10:34,874 - 输入参数: [4.71310128e+04 3.15319488e+04 1.82420021e+00 0.00000000e+00
 0.00000000e+00 2.47351533e+05], 计算结果: 2813.261416990059
2025-09-12 15:10:51,415 - 输入参数: [100000.              0.              0.              0.
      0.         604365.04578998], 计算结果: 2137.9044770638984
2025-09-12 15:11:04,177 - 输入参数: [2.70531197e+04 1.91393368e+04 3.27294415e+00 7.55193396e+00
 4.79613635e+05 8.63667681e+03], 计算结果: 2258.5349887115162
2025-09-12 15:11:19,045 - 输入参数: [ 9672.97833693 34789.37642686   100.             0.
     0.             0.        ], 计算结果: 15864.452589976749
2025-09-12 15:11:34,393 - 输入参数: [7.78539411e+02 5.37019358e+04 0.00000000e+00 1.14839338e+01
 1.78582117e+05 0.00000000e+00], 计算结果: 2691.5566406650432
2025-09-12 15:11:44,609 - 输入参数: [1.83931949e+04 2.29356930e+04 6.17755856e+00 1.68200130e+01
 5.96757791e+05 2.40789998e+05], 计算结果: 474.6009603067449
2025-09-12 15:11:58,506 - 输入参数: [19605.26521165  3501.50826942   100.             0.
     0.             0.        ], 计算结果: 23101.184574842955
2025-09-12 15:12:14,013 - 输入参数: [3.16893805e+04 4.09592760e+04 2.10315337e+00 0.00000000e+00
 2.03863208e+05 0.00000000e+00], 计算结果: 3184.794350826968
2025-09-12 15:12:27,015 - 输入参数: [0.00000000e+00 2.54458272e+04 1.45011959e+00 6.32445114e+00
 1.00000000e+06 2.75492181e+04], 计算结果: 2098.202746865579
2025-09-12 15:12:41,903 - 输入参数: [1.36615604e+04 2.47719656e+04 5.67107892e+01 1.31582353e+01
 1.08264283e+05 0.00000000e+00], 计算结果: 3237.7625813611226
2025-09-12 15:12:57,705 - 输入参数: [1.00000000e+05 2.92211663e+04 1.15242416e+01 5.63886387e+01
 0.00000000e+00 9.17635747e+04], 计算结果: 2356.5496007453467
2025-09-12 15:13:07,908 - 输入参数: [7.47334337e+04 1.65780406e+04 0.00000000e+00 1.00000000e+02
 4.20430312e+04 2.43753112e+05], 计算结果: 635.775606493314
2025-09-12 15:13:23,718 - 输入参数: [26125.15918378 38413.27804574   100.             0.
     0.             0.        ], 计算结果: 11992.519549499317
2025-09-12 15:13:31,944 - 输入参数: [ 6351.07294066     0.            28.07727579     0.
     0.         26419.56943908], 计算结果: 8910.328221383676
2025-09-12 15:13:42,139 - 输入参数: [0.00000000e+00 2.07743403e+04 5.47577163e+01 0.00000000e+00
 8.94000975e+05 2.22463530e+05], 计算结果: 1035.9742781032485
2025-09-12 15:13:56,445 - 输入参数: [9.69233560e+03 3.27926476e+04 4.07970433e+00 0.00000000e+00
 0.00000000e+00 1.43601335e+05], 计算结果: 3913.238660413208
2025-09-12 15:14:08,078 - 输入参数: [1.00000000e+05 2.85102839e+04 1.00000000e+02 3.46666051e+01
 1.41742406e+05 3.74700555e+05], 计算结果: 613.6763726287587
2025-09-12 15:14:14,542 - 输入参数: [1.01733826e+04 7.43437463e+04 0.00000000e+00 1.00000000e+02
 5.44060810e+04 6.71241957e+05], 计算结果: 433.85511672329164
2025-09-12 15:14:25,138 - 输入参数: [7.55810268e+03 3.41784652e+02 1.00000000e+02 0.00000000e+00
 8.19976314e+05 2.65924439e+05], 计算结果: 1884.15521956711
2025-09-12 15:14:30,909 - 输入参数: [1.24328964e+04 2.45664921e+04 0.00000000e+00 1.99539882e+01
 1.75191667e+05 1.52223691e+05], 计算结果: 285.14088547678716
2025-09-12 15:14:45,993 - 输入参数: [ 9409.43832171 51501.61442043     0.           100.
     0.         30087.13856652], 计算结果: 10200.631338080042
2025-09-12 15:14:49,925 - 输入参数: [0.00000000e+00 2.36244732e+04 5.59902111e+00 5.63801390e+00
 5.99913503e+04 1.05830691e+05], 计算结果: 591.7890975671307
2025-09-12 15:14:56,691 - 输入参数: [ 14480.11833282  21832.36599003      0.              0.
 195244.38344297 222456.41155737], 计算结果: 304.77233774503594
2025-09-12 15:15:08,398 - 输入参数: [0.00000000e+00 2.84194682e+04 1.13737453e+01 1.00000000e+02
 9.53657686e+05 3.02687973e+05], 计算结果: 946.0945792590976
2025-09-12 15:15:18,827 - 输入参数: [0.00000000e+00 0.00000000e+00 5.80269970e+00 1.67999139e+01
 4.13173404e+05 3.29416423e+05], 计算结果: 4368.983095755113
2025-09-12 15:15:29,838 - 输入参数: [6.77562117e+04 4.72818469e+04 1.24068525e+01 1.35589233e+01
 2.24558445e+05 6.49343193e+04], 计算结果: 962.5992990336131
2025-09-12 15:15:44,679 - 输入参数: [10820.57459871 22638.32607437   100.             0.
     0.             0.        ], 计算结果: 19810.019587371036
2025-09-12 15:15:51,048 - 输入参数: [2.17125480e+04 4.60017365e+04 1.05904733e+01 1.73892700e+01
 1.18199909e+05 2.18425483e+05], 计算结果: 320.5362654138719
2025-09-12 15:15:57,024 - 输入参数: [1.76173553e+04 2.05637865e+04 6.46100185e+00 1.27957114e+01
 1.87811347e+05 1.74834968e+05], 计算结果: 286.62690429445024
2025-09-12 15:16:03,755 - 输入参数: [6.60913676e+03 2.55246498e+04 1.24986165e+01 1.60966394e+01
 2.07929647e+05 2.00953667e+05], 计算结果: 409.09430773316876
2025-09-12 15:16:15,743 - 输入参数: [8.39944241e+03 0.00000000e+00 2.03026607e+00 1.00000000e+02
 1.31421773e+05 0.00000000e+00], 计算结果: 5234.249184764381
2025-09-12 15:16:22,396 - 输入参数: [7.93871116e+03 0.00000000e+00 6.76400886e+00 0.00000000e+00
 4.60025205e+05 1.41144826e+05], 计算结果: 2814.261188851533
2025-09-12 15:16:34,330 - 输入参数: [6.08455685e+04 2.25397647e+04 1.74658746e-02 0.00000000e+00
 4.86129715e+05 4.58457291e+05], 计算结果: 462.6494068283004
2025-09-12 15:16:46,877 - 输入参数: [2.47532866e+04 0.00000000e+00 0.00000000e+00 2.63164864e+01
 4.51679923e+05 0.00000000e+00], 计算结果: 5282.748948523551
2025-09-12 15:16:50,808 - 输入参数: [2.00526631e+04 3.02341394e+02 7.56716531e+01 7.72873196e+00
 3.77802540e+04 8.42021269e+04], 计算结果: 1050.2493725964964
2025-09-12 15:17:05,595 - 输入参数: [9.10608889e+03 2.69178090e+04 4.03758753e+00 1.00000000e+02
 8.78817928e+04 0.00000000e+00], 计算结果: 3255.2506233838917
2025-09-12 15:17:11,634 - 输入参数: [0.00000000e+00 3.04749647e+04 0.00000000e+00 1.88417623e+01
 1.58189127e+05 1.89093321e+05], 计算结果: 629.6901056566825
2025-09-12 15:17:17,235 - 输入参数: [2.01435164e+04 1.98953974e+04 8.01463853e+00 1.81248281e+01
 1.68942762e+05 1.64490631e+05], 计算结果: 281.90645884961515
2025-09-12 15:17:23,410 - 输入参数: [2.08850832e+04 4.09960690e+04 0.00000000e+00 1.26310083e+01
 1.53007962e+05 1.67086624e+05], 计算结果: 305.9116494881871
2025-09-12 15:17:31,264 - 输入参数: [0.00000000e+00 0.00000000e+00 2.27175055e+01 0.00000000e+00
 1.00000000e+06 1.87149522e+04], 计算结果: 3698.9545620711224
2025-09-12 15:17:39,167 - 输入参数: [2.05367090e+04 2.55986326e+04 6.40525186e+00 1.27246765e+01
 3.63511029e+05 1.76442808e+05], 计算结果: 342.42365405985436
2025-09-12 15:17:48,457 - 输入参数: [1.89250835e+04 2.52819467e+04 8.55113984e+00 1.31817500e+01
 2.33558516e+05 3.71152611e+05], 计算结果: 380.2979020663704
2025-09-12 15:17:55,037 - 输入参数: [2.00901398e+04 2.46255129e+04 8.20799478e+00 6.09173657e+00
 1.77159421e+05 2.07634708e+05], 计算结果: 284.75574323205274
2025-09-12 15:18:10,623 - 输入参数: [1.93865895e+04 5.32936080e+04 1.98323846e+01 7.64851939e+00
 2.14705485e+05 0.00000000e+00], 计算结果: 2859.402634535652
2025-09-12 15:18:24,022 - 输入参数: [3.63353084e+03 0.00000000e+00 1.00386548e+01 3.14353086e+01
 0.00000000e+00 2.16641916e+05], 计算结果: 4929.300316131273
2025-09-12 15:18:39,163 - 输入参数: [ 19226.18368016  21602.23349697      0.              0.
      0.         361929.1611375 ], 计算结果: 3789.5817969281115
2025-09-12 15:18:52,300 - 输入参数: [0.00000000e+00 5.80754731e+04 1.02252766e+01 0.00000000e+00
 7.93232758e+05 6.46376988e+04], 计算结果: 1425.9287064139041
2025-09-12 15:18:57,389 - 输入参数: [2.26499772e+04 2.43186669e+04 1.13152089e+01 1.13114423e+01
 1.27770590e+05 9.47634874e+04], 计算结果: 342.6392749427011
2025-09-12 15:19:07,148 - 输入参数: [3.81560403e+04 3.42329474e+04 1.95210236e+01 7.37024647e+01
 3.36379361e+05 2.79980153e+05], 计算结果: 387.7669111322742
2025-09-12 15:19:19,590 - 输入参数: [3.60397116e+04 4.06922289e+04 1.16379940e+01 3.72390460e+01
 7.90087002e+04 1.33055416e+04], 计算结果: 2209.393559520522
2025-09-12 15:19:29,644 - 输入参数: [5.61978324e+04 0.00000000e+00 1.27073734e+01 0.00000000e+00
 2.11014056e+05 3.74757536e+05], 计算结果: 818.3703891606066
2025-09-12 15:19:45,091 - 输入参数: [6.44823839e+04 4.58983797e+03 8.62806761e+00 1.34774510e+01
 0.00000000e+00 1.74106930e+05], 计算结果: 2285.68879642893
2025-09-12 15:20:00,567 - 输入参数: [1.69835078e+04 2.61343306e+04 5.15376787e+00 9.81398921e+00
 0.00000000e+00 3.74387512e+05], 计算结果: 3990.376708556769
2025-09-12 15:20:05,590 - 输入参数: [4.11871180e+04 1.11967869e+04 1.52455138e+01 1.41829544e+01
 1.60703549e+05 6.44756997e+04], 计算结果: 428.17483402986454
2025-09-12 15:20:12,198 - 输入参数: [3.79864507e+04 2.67611743e+04 0.00000000e+00 1.31448491e+01
 1.78594915e+05 6.68840881e+04], 计算结果: 534.7435688655976
2025-09-12 15:20:22,113 - 输入参数: [2.46481445e+04 2.36888271e+04 6.62513572e+00 6.54740563e+00
 5.09753587e+05 2.35562326e+05], 计算结果: 397.86851664481844
2025-09-12 15:20:29,198 - 输入参数: [  6982.24044603  10961.25041491      0.              0.
 159072.66762859 312878.8829415 ], 计算结果: 920.7905250336396
2025-09-12 15:20:34,424 - 输入参数: [2.46931369e+04 1.83317133e+04 7.80257656e+00 6.87236554e+00
 1.58521787e+05 1.31186962e+05], 计算结果: 256.6366882295032
2025-09-12 15:20:44,648 - 输入参数: [1.99216354e+04 2.31032115e+04 4.33845690e+01 7.71218798e+00
 9.35628881e+05 2.14417738e+05], 计算结果: 519.5195126684432
2025-09-12 15:20:59,435 - 输入参数: [    0.         31660.264523       0.             0.
 62574.38988103     0.        ], 计算结果: 3034.168075850508
2025-09-12 15:21:10,679 - 输入参数: [0.00000000e+00 0.00000000e+00 9.05540509e+00 4.45108828e+01
 3.00269738e+05 5.61177718e+05], 计算结果: 3542.349483444511
2025-09-12 15:21:26,307 - 输入参数: [9.93984086e+04 1.07342576e+04 1.28932607e+01 1.00000000e+02
 2.57055825e+04 0.00000000e+00], 计算结果: 11322.811046595916
2025-09-12 15:21:40,249 - 输入参数: [2.10147703e+04 1.53771695e+04 4.23755365e+01 1.77469382e+01
 0.00000000e+00 0.00000000e+00], 计算结果: 15676.97545714138
2025-09-12 15:21:46,746 - 输入参数: [ 31316.51823956  32697.17023842      0.              0.
  84383.86521224 186628.97047708], 计算结果: 397.7757780712853
2025-09-12 15:22:00,907 - 输入参数: [1.33088090e+04 2.39002729e+04 0.00000000e+00 4.98981744e+00
 0.00000000e+00 1.33726504e+05], 计算结果: 3495.259813066158
2025-09-12 15:22:09,440 - 输入参数: [2.09295088e+04 3.93906230e+03 1.06668707e+01 0.00000000e+00
 8.73537133e+05 1.80933895e+05], 计算结果: 879.635665256124
2025-09-12 15:22:24,340 - 输入参数: [     0.          23293.32664602      0.              0.
 161546.76273724      0.        ], 计算结果: 3419.9821951838776
2025-09-12 15:22:39,834 - 输入参数: [1.54963122e+04 3.95128815e+04 2.49879447e+00 0.00000000e+00
 1.96678233e+05 0.00000000e+00], 计算结果: 3076.8443741773344
2025-09-12 15:22:55,134 - 输入参数: [13839.07323101 34504.20362629   100.             0.
     0.         49609.17059603], 计算结果: 6564.779591412627
2025-09-12 15:23:01,087 - 输入参数: [2.70746750e+04 2.36294065e+04 7.13283036e+00 3.01433475e+01
 1.67345511e+05 1.57825812e+05], 计算结果: 291.81772630982823
2025-09-12 15:23:05,223 - 输入参数: [0.00000000e+00 0.00000000e+00 0.00000000e+00 3.17114512e+01
 5.92388191e+05 6.80719508e+04], 计算结果: 4123.896189419665
2025-09-12 15:23:10,469 - 输入参数: [1.21034879e+04 2.38698695e+04 5.28572334e+00 5.74587311e+00
 1.29013493e+05 1.76949223e+05], 计算结果: 260.18651643705726
2025-09-12 15:23:21,056 - 输入参数: [1.64281137e+03 1.25539724e+03 4.19869172e+01 1.84134334e+01
 0.00000000e+00 7.87284935e+04], 计算结果: 11020.126103754152
2025-09-12 15:23:32,169 - 输入参数: [9.86543563e+04 4.23560582e+04 0.00000000e+00 6.58864022e+01
 1.00000000e+06 2.10273710e+05], 计算结果: 469.4558892320877
2025-09-12 15:23:46,636 - 输入参数: [0.00000000e+00 3.13039067e+04 2.91489071e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00], 计算结果: 21967.373688220356
2025-09-12 15:23:50,622 - 输入参数: [0.00000000e+00 0.00000000e+00 2.80280729e+00 0.00000000e+00
 1.28429155e+05 3.57842115e+04], 计算结果: 20176.372732158106
2025-09-12 15:23:56,559 - 输入参数: [3.21127616e+04 1.95440225e+04 0.00000000e+00 9.36069471e+00
 2.15737885e+05 1.46092951e+05], 计算结果: 268.4151248521507
2025-09-12 15:24:07,072 - 输入参数: [2.36516832e+04 1.64634474e+04 0.00000000e+00 1.45435393e+01
 4.21803932e+05 3.00191025e+05], 计算结果: 426.42432064036507
2025-09-12 15:24:12,297 - 输入参数: [2.71894560e+04 1.69616014e+04 7.00424685e+00 0.00000000e+00
 1.44518023e+05 5.86018041e+04], 计算结果: 451.60023685227395
2025-09-12 15:24:17,534 - 输入参数: [2.66296707e+04 2.19818489e+04 5.72134770e-01 1.02918450e+01
 1.56897078e+05 8.96236959e+04], 计算结果: 327.7714767971788
2025-09-12 15:24:23,303 - 输入参数: [4.72848851e+03 3.68197059e+04 1.64698267e+01 2.98187120e+01
 1.42386908e+05 6.67791469e+04], 计算结果: 450.79378205061295
2025-09-12 15:24:36,464 - 输入参数: [7.90587988e+03 1.12810860e+04 8.01655411e+00 2.65630458e+00
 0.00000000e+00 1.35762903e+05], 计算结果: 3248.7967686645707
2025-09-12 15:24:52,598 - 输入参数: [5.13146710e+04 1.98415921e+04 0.00000000e+00 2.79530235e+00
 0.00000000e+00 4.61674041e+05], 计算结果: 2883.811071429138
2025-09-12 15:25:07,851 - 输入参数: [ 24705.96272194   8133.42272164      0.              0.
      0.         159119.50507136], 计算结果: 3050.8385844557793
2025-09-12 15:25:23,199 - 输入参数: [4.72738803e+04 1.27422646e+04 0.00000000e+00 5.63932386e+00
 0.00000000e+00 1.18614458e+05], 计算结果: 2595.805390893488
2025-09-12 15:25:29,756 - 输入参数: [8.55878808e+04 9.07811880e+03 3.46809039e+00 5.30125545e+01
 7.01991036e+05 4.72875673e+04], 计算结果: 604.2813557043677
2025-09-12 15:25:34,032 - 输入参数: [2.21503585e+04 1.09920241e+04 7.37422673e-01 1.01611787e+01
 1.58024186e+05 7.54398189e+04], 计算结果: 299.10592400940897
2025-09-12 15:25:45,838 - 输入参数: [0.00000000e+00 5.80520606e+04 5.91013842e+00 9.33377578e+00
 9.49928522e+05 1.35887405e+05], 计算结果: 1079.0792184368029
2025-09-12 15:25:52,579 - 输入参数: [1.92371385e+04 5.06520640e+04 1.50616842e+01 1.02129529e+01
 1.55178517e+05 1.05767085e+05], 计算结果: 415.8102683512591
2025-09-12 15:26:00,154 - 输入参数: [0.00000000e+00 0.00000000e+00 2.29168558e+01 0.00000000e+00
 1.00000000e+06 1.98735852e+04], 计算结果: 3645.4481458128803
2025-09-12 15:26:06,503 - 输入参数: [1.32902661e+04 2.37149640e+04 6.22380670e+00 2.02185058e+01
 1.21026066e+05 3.18194443e+05], 计算结果: 321.7701665979283
2025-09-12 15:26:13,309 - 输入参数: [2.30924698e+04 1.80055283e+04 8.10796842e+00 4.93338963e+00
 1.84156926e+05 2.20571129e+05], 计算结果: 294.65878140160765
2025-09-12 15:26:19,271 - 输入参数: [1.70141454e+04 1.46859817e+04 7.74568807e+00 5.69702945e+00
 1.50367067e+05 2.06147940e+05], 计算结果: 303.15942489386464
2025-09-12 15:26:20,760 - 输入参数: [ 0.          0.         13.07955325 21.01762674  0.          0.        ], 计算结果: 189342.02227881158
2025-09-12 15:26:32,551 - 输入参数: [0.00000000e+00 0.00000000e+00 1.38858869e+01 3.96649920e+01
 0.00000000e+00 1.23478593e+05], 计算结果: 10973.830119454182
2025-09-12 15:26:45,983 - 输入参数: [  2970.77760825  33286.7590039       0.              0.
      0.         218117.93957677], 计算结果: 4186.580888699418
2025-09-12 15:27:01,218 - 输入参数: [3.14858481e+04 0.00000000e+00 7.07400568e+00 0.00000000e+00
 0.00000000e+00 8.71736635e+04], 计算结果: 2787.0194924150005
2025-09-12 15:27:12,752 - 输入参数: [0.00000000e+00 2.39716457e+04 1.16228655e+01 2.28497619e+01
 9.07864959e+05 2.99417321e+05], 计算结果: 1050.0353123568887
2025-09-12 15:27:17,626 - 输入参数: [2.48966439e+04 0.00000000e+00 4.13244451e+00 1.25516462e+01
 2.93940943e+04 4.11438935e+04], 计算结果: 1424.334501948179
2025-09-12 15:27:29,918 - 输入参数: [2.92418781e+04 0.00000000e+00 2.22923029e+01 0.00000000e+00
 1.85484419e+05 0.00000000e+00], 计算结果: 4813.219306466317
2025-09-12 15:27:37,310 - 输入参数: [3.22852189e+04 2.51460796e+04 1.88756798e+01 0.00000000e+00
 7.95345576e+04 2.75130582e+05], 计算结果: 420.1222343565186
2025-09-12 15:27:41,436 - 输入参数: [1.00000000e+05 0.00000000e+00 0.00000000e+00 5.38557529e+00
 9.97637198e+04 7.84355423e+04], 计算结果: 254.68432291552705
2025-09-12 15:27:51,946 - 输入参数: [2.25416711e+04 1.29800543e+04 3.66189969e+00 8.42272040e+00
 3.44781880e+05 3.64258007e+05], 计算结果: 468.3201622570138
2025-09-12 15:28:03,698 - 输入参数: [3.48336144e+04 0.00000000e+00 4.40689332e+00 0.00000000e+00
 1.26763579e+05 0.00000000e+00], 计算结果: 6152.390924872168
2025-09-12 15:28:10,256 - 输入参数: [2.55272493e+03 9.51541352e+03 1.78444484e-01 3.94797668e+00
 1.55768590e+05 2.60266119e+05], 计算结果: 1663.824798421166
2025-09-12 15:28:18,270 - 输入参数: [2.47005075e+04 1.72741415e+04 6.54283464e+00 7.15430672e+00
 5.06006957e+05 4.06030714e+04], 计算结果: 784.4040469266959
2025-09-12 15:28:24,218 - 输入参数: [4.48958561e+04 1.62873220e+04 0.00000000e+00 4.46060777e+00
 1.57906287e+05 1.51849164e+05], 计算结果: 277.26789877637555
2025-09-12 15:28:39,622 - 输入参数: [2.65783433e+04 3.66187664e+04 7.82996307e+01 2.29067830e+01
 0.00000000e+00 0.00000000e+00], 计算结果: 11971.276317527077
2025-09-12 15:28:49,834 - 输入参数: [4.49940951e+04 1.73142857e+03 2.61555200e+01 5.78434434e+01
 6.61148756e+05 2.51755266e+05], 计算结果: 567.6481324088935
2025-09-12 15:28:55,788 - 输入参数: [3.28736589e+04 1.15737052e+04 0.00000000e+00 1.36053365e+01
 1.57058388e+05 1.77066642e+05], 计算结果: 286.4440214685276
2025-09-12 15:29:10,172 - 输入参数: [8.80689090e+03 3.68355439e+04 1.00648126e+01 5.38506385e+01
 0.00000000e+00 2.62705837e+05], 计算结果: 4192.925172001065
2025-09-12 15:29:26,082 - 输入参数: [9.66208137e+04 0.00000000e+00 1.47669307e+01 0.00000000e+00
 1.39839091e+03 4.66325325e+05], 计算结果: 1759.014299095485
2025-09-12 15:29:37,491 - 输入参数: [0.00000000e+00 1.77974834e+04 0.00000000e+00 3.36963063e+01
 0.00000000e+00 9.78276958e+04], 计算结果: 4005.6232001153985
2025-09-12 15:29:45,953 - 输入参数: [5.05291288e+04 9.77438781e+03 0.00000000e+00 3.44158734e+01
 2.25238090e+04 2.03756019e+05], 计算结果: 602.6667900012123
2025-09-12 15:29:51,564 - 输入参数: [2.65018316e+04 1.74433469e+04 3.04723925e+00 7.39589615e+00
 2.16785637e+05 1.33112357e+05], 计算结果: 259.8496557336771
2025-09-12 15:30:06,751 - 输入参数: [2.29679472e+04 1.99231231e+04 3.56809693e+00 2.72209438e+01
 0.00000000e+00 1.63141539e+05], 计算结果: 3272.051567805209
2025-09-12 15:30:11,656 - 输入参数: [0.00000000e+00 1.02590554e+04 3.54738229e+00 8.60219430e+00
 1.56829492e+05 1.20296984e+05], 计算结果: 1951.0669322856563
2025-09-12 15:30:17,118 - 输入参数: [2.97984484e+04 6.56300339e+03 1.00592138e+01 8.76535821e+00
 1.02728296e+05 1.80058484e+05], 计算结果: 345.2679819466549
2025-09-12 15:30:21,255 - 输入参数: [1.93527951e+04 1.25899945e+04 1.00000000e+02 4.21572700e+00
 8.10103295e+04 1.07677378e+05], 计算结果: 491.79101794631424
2025-09-12 15:30:26,277 - 输入参数: [2.55257815e+04 1.99432094e+04 7.45042112e+00 3.02836933e+01
 1.54505141e+05 8.68571713e+04], 计算结果: 350.68266636772887
2025-09-12 15:30:31,961 - 输入参数: [1.33804702e+04 0.00000000e+00 1.29771785e+01 8.65698311e+00
 1.48921448e+04 2.77316373e+04], 计算结果: 4005.124859620867
2025-09-12 15:30:40,243 - 输入参数: [1.0000000e+05 0.0000000e+00 3.8313111e+00 0.0000000e+00 1.0000000e+06
 1.7952698e+05], 计算结果: 403.26808694775605
2025-09-12 15:30:44,354 - 输入参数: [100000.              0.              0.              0.
 166267.53201358  78334.36016404], 计算结果: 207.44961562879774
2025-09-12 15:30:48,766 - 输入参数: [0.00000000e+00 0.00000000e+00 0.00000000e+00 8.07505028e+01
 1.00000000e+06 7.36120307e+04], 计算结果: 1795.6814179999146
2025-09-12 15:30:50,314 - 输入参数: [ 0.          0.          0.         30.18438891  0.          0.        ], 计算结果: 170338.82914771725
2025-09-12 15:30:54,863 - 输入参数: [1.00000000e+05 0.00000000e+00 1.77257461e+00 1.08094265e+01
 9.70361148e+04 5.84664434e+04], 计算结果: 437.8018591575534
2025-09-12 15:31:09,903 - 输入参数: [1.00000000e+05 7.89966142e+03 0.00000000e+00 6.35812612e+00
 1.30632755e+05 0.00000000e+00], 计算结果: 8566.602707467242
2025-09-12 15:31:25,484 - 输入参数: [1.00000000e+05 1.16744457e+04 0.00000000e+00 3.67669845e-01
 0.00000000e+00 7.53946884e+04], 计算结果: 2007.4818002412253
